,P_10,P_9,P_8,P_7,P_6,P_5,P_4,P_3,P_2,P_1
0,2650.064136,2649.184946,2745.786427,2872.942026,1913.510765,1768.15252,1769.341377,1678.579928,1741.26235,1765.724369
1,2905.009308,2871.934313,2907.062229,3010.704836,2324.509901,2234.207296,2047.754928,1890.141551,1788.270812,1797.065165
2,4057.850142,3861.244836,3650.541399,3500.719535,2961.372931,2710.367056,2500.096222,2344.953699,2246.981662,2267.082203
3,4007.547759,3824.819357,3642.12422,3498.569509,2876.447722,2596.071788,2396.160327,2315.083333,2315.476122,2304.148238
4,3731.994627,3572.663024,3378.352067,3274.037756,2744.806937,2479.837599,2290.977469,2218.371301,2173.612145,2163.888407
5,3746.313497,3599.671657,3414.746593,3330.874705,2811.181271,2475.34902,2253.095488,2172.654092,2192.056616,2184.04012
6,3844.985887,3640.067943,3472.805607,3354.608669,2844.112906,2584.162228,2296.723885,2183.613069,2206.007698,2193.550592
7,3982.696735,3696.378495,3496.844851,3373.540048,2885.7192,2572.412617,2271.916591,2189.397546,2204.780795,2193.263365
8,3824.39029,3593.837785,3414.458821,3323.838009,2839.315681,2553.612756,2258.308055,2169.15836,2182.685145,2173.425668
9,4067.089462,3819.220927,3565.228223,3421.814663,2894.036424,2581.18432,2289.15755,2205.765528,2245.410081,2230.984146
10,3919.121648,3666.780677,3389.199402,3244.33112,2690.744961,2425.377258,2267.947964,2188.270719,2222.505215,2214.480526
11,4311.282107,4088.724831,3809.054595,3598.902293,3008.04896,2730.587085,2496.085294,2353.131775,2302.2669,2290.206675
12,3999.110048,3817.702935,3623.704191,3484.613981,2929.472159,2649.360754,2410.342143,2313.249571,2326.041482,2429.421428
13,4024.259699,3843.981729,3637.840294,3498.392077,2893.929572,2623.086242,2378.603943,2242.875795,2201.842662,2231.697909
14,3959.881703,3786.623417,3599.792612,3497.014989,2936.953297,2730.003432,2533.720301,2376.447737,2132.905827,2114.252611
15,3840.42563,3653.019051,3429.091744,3302.48383,2867.0864,2511.834491,2221.419566,2065.637715,1958.961726,1973.795312
16,3096.154256,3037.431534,3016.545444,3038.626166,2227.281817,2118.290574,2085.332845,1918.00564,2026.5618,2036.611151
